cid,record_id,Country,age,gender,marital,educ,educ_other,child_dependants,Regions,healthtype_2,role,role_other,healthtype,If_Yes,jobrole,train_years,experience_1,experience_2,experience_3,experience_4,service_demand_1,service_demand_2,skills_1,skills_2,skills_3,belief,conseq_beliefs_1,conseq_beliefs_2,conseq_beliefs_3,intentions,environment_context_1,environment_context_2,environment_context_3,environment_context_4,social_influence_1,social_influence_2,social_influence_3,social_influence_4,emotion_1,emotion_2,emotion_3,emotion_4,emotion_5,trust_1,trust_2,trust_3
hcw_8765,352,Uganda,30,2,1,NULL,NULL,6,Central 1,1,6,NULL,3,1,1,NULL,2,2,1,2,5,5,3,3,3,5,5,5,1,5,5,5,5,6,3,5,5,1,7,5,5,1,6,5,5,5
hcw_8766,353,Uganda,36,1,3,NULL,NULL,2,Central 1,1,9,NULL,1,1,1,NULL,1,2,1,2,4,4,5,5,4,5,5,4,4,5,5,4,5,5,5,2,5,5,5,5,1,1,1,1,4,1
hcw_8767,354,Uganda,27,2,3,NULL,NULL,2,Central 1,1,5,NULL,1,1,1,NULL,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,1
hcw_8768,355,Uganda,24,2,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,1,5,5,1,1,1,5,5,5,2,5,5,1,5,4,5,5,5,1,5,5,4,2,2,5,2,2
hcw_8769,356,Uganda,27,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,2,2,2,2,1,1,1,1,1,5,5,5,1,5,6,5,5,4,5,5,5,5,7,5,5,5,4,3,5,5
hcw_8770,357,Uganda,29,2,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,2,2,2,2,1,1,1,1,1,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
hcw_8771,358,Uganda,55,1,3,NULL,NULL,3,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,2,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
hcw_8772,359,Uganda,30,2,2,NULL,NULL,1,Central 1,1,6,NULL,3,1,1,NULL,1,1,1,2,5,5,5,5,5,5,5,4,5,5,4,4,5,6,5,5,5,4,5,5,4,5,5,5,5,5
hcw_8773,360,Uganda,23,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,1,1,1
hcw_8774,361,Uganda,28,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,2,6,6,1,6,6,6,6,6,6,6,6,6,6,6,1,6,6,6,6,6,5,6,6,1,1,5
hcw_8775,362,Uganda,24,1,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,2,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1
hcw_8776,363,Uganda,24,1,1,NULL,NULL,2,Central 1,1,6,NULL,1,1,1,NULL,3,3,2,3,5,5,3,2,6,6,2,3,2,6,6,2,1,1,6,6,6,6,6,6,2,6,2,5,5,5
hcw_8777,364,Uganda,49,1,2,NULL,NULL,1,Central 1,1,8,NULL,1,1,2,NULL,1,2,1,1,6,6,4,6,6,6,5,5,6,6,5,4,6,4,6,6,6,6,6,6,5,6,6,3,5,5
hcw_8778,365,Uganda,27,1,1,NULL,NULL,6,Central 1,1,6,NULL,5,1,1,NULL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,2,2,6,6,6,6,2,5,1
hcw_8779,366,Uganda,42,1,1,NULL,NULL,2,Central 1,1,9,NULL,1,NULL,1,NULL,1,1,1,2,6,6,6,6,6,6,5,6,5,6,6,5,6,6,6,6,6,5,6,6,6,6,5,2,2,2
hcw_8780,367,Uganda,34,2,1,NULL,NULL,6,Central 1,1,6,NULL,1,1,1,NULL,1,1,1,1,7,7,7,7,7,7,6,7,7,7,7,7,7,6,7,7,7,7,7,7,1,7,7,1,1,1
hcw_8781,368,Uganda,25,2,2,NULL,NULL,6,Central 1,1,9,NULL,12,2,1,NULL,2,2,1,2,6,6,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,5,6,6,6
hcw_8782,369,Uganda,26,1,2,NULL,NULL,6,Central 1,1,6,NULL,1,2,1,NULL,2,2,1,2,6,6,6,6,6,6,6,6,5,6,5,6,3,6,6,6,6,6,6,6,2,1,6,1,1,2
hcw_8783,370,Uganda,33,1,3,NULL,NULL,5,Central 1,1,6,NULL,1,1,1,NULL,2,2,2,2,2,2,6,6,6,5,2,5,2,2,5,5,5,5,6,6,6,6,6,6,6,6,6,5,5,5
hcw_8784,371,Uganda,32,1,2,NULL,NULL,1,Central 1,1,6,NULL,8,1,1,NULL,2,2,2,2,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,2,2,6,2,2,2,2,2
hcw_8785,372,Uganda,24,1,3,NULL,NULL,6,Central 1,1,6,NULL,8,1,1,NULL,2,2,2,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,6,2,2,5,5,5
hcw_8786,373,Uganda,25,1,1,NULL,NULL,6,Central 1,1,5,NULL,8,1,1,NULL,2,2,1,2,7,7,7,7,6,7,7,7,2,7,6,6,7,6,6,7,6,6,6,6,3,6,2,1,1,1
